contestar
desplazarse
confundirse
arrojarse
resbalar
abochornarse
competir
echar
acometer
deslizarse
caminar
embestir
visitar
propalarse
precipitarse
turbarse
recorrer
destrozar
avergonzarse
rebotar
agredir
acelerar
galopar
levantarse
envidar
impugnar
emanar
transitar
tirarse
apresurarse
retozar
refutar
extenderse
entretenerse
verter
apostar
poner
destruirse
abalanzar
desconcertarse
amedrentar
contradecir
expulsar
divulgar
difundirse
moverse
abalanzarse
botar
piruetear
aventurar
propagarse
brincar
lanzarse
volar
editar
manar
respingar
viajar
propalar
transcurrir
empujar
asaltar
emitir
reventar
desafiar
olvidar
pugnar
divertirse
apartarse
circular
extender
arrojar
perseguir
tirar
soltar
detonar
recrearse
aligerar
exhalar
difundir
omitir
silenciar
estallar
rebatir
marchar
cazar
disparar
aturullarse
pasar
despeñar
corretear
despedir
derramar
proyectar
explotar
trotar
romperse
azorarse
dejar
eludir
arriesgar
replicar
retar
juguetear
impeler
arremeter
esparcirse
acosar
divulgarse
oponerse
fluir
